squad,comp,season,goals,shots,xg_statsbomb,elo,xg_location,xg_header,xg_buildup
Stuttgart,de Bundesliga,2018/2019,32,404,38.9,1660.114624,39.57515212,37.11229827,36.6181031
Stuttgart,de Bundesliga,2017/2018,35,364,39.7,1613.081665,35.55454331,36.2184373,35.88115737
Swansea,eng Premier League,2017/2018,27,337,30.3,1647.209229,33.0841912,33.1234478,31.748147
Torino,it Serie A,2019/2020,44,437,42.4,1694.376465,45.67101265,43.90286473,44.06297457
Torino,it Serie A,2018/2019,50,519,49.4,1676.347534,49.92381184,48.5625611,48.9163184
Torino,it Serie A,2017/2018,53,460,46.7,1638.397949,45.53316211,47.07487954,45.92623213
Tottenham,eng Premier League,2019/2020,56,439,46.1,1890.953247,42.89169505,45.26983726,45.89483969
Tottenham,eng Premier League,2018/2019,66,533,55.6,1910.890625,54.64791624,54.09818231,53.36708928
Tottenham,eng Premier League,2017/2018,70,628,67,1885.281982,59.95657186,63.97848137,63.48057846
Toulouse,fr Ligue 1,2019/2020,21,310,30.2,1492.487793,34.04178284,31.50340189,31.01638282
Toulouse,fr Ligue 1,2018/2019,35,421,43.7,1537.591675,47.74840142,46.27997962,44.80744479
Toulouse,fr Ligue 1,2017/2018,35,437,46,1572.932495,47.27981576,45.66364026,44.94474955
Troyes,fr Ligue 1,2017/2018,30,365,36.6,1499.290649,36.55002121,36.69025141,37.03950261
Udinese,it Serie A,2019/2020,37,476,40.7,1561.548584,39.61100431,39.15865811,39.17251425
Udinese,it Serie A,2018/2019,38,461,41.5,1553.399902,42.09706374,41.74476186,41.49600871
Udinese,it Serie A,2017/2018,45,445,43.7,1566.113281,44.60155988,43.44805861,43.67752361
Union Berlin,de Bundesliga,2019/2020,38,389,38.3,1537.382935,45.66310762,44.41231862,41.70081945
Valencia,es La Liga,2019/2020,44,326,40.3,1809.563965,39.65429159,40.59119679,40.62847695
Valencia,es La Liga,2018/2019,50,464,57.2,1797.422729,56.14924319,56.06854308,56.28950403
Valencia,es La Liga,2017/2018,63,483,56,1707.060669,51.8153711,50.70992879,50.76004653
Valladolid,es La Liga,2019/2020,31,370,35.5,1613.782471,35.76420071,35.989763,36.43479988
Valladolid,es La Liga,2018/2019,31,408,40.5,1619.59021,40.01243954,39.21991745,39.36430498
